social,nonsocial,transitive,intransitive
Playing kickball,Welding,Futsal,Zumba
Fun sliding down,Waxing skis,Using parallel bars,Breakdancing
BMX,Trimming branches or hedges,Windsurfing,Long jump
Cricket,Tumbling,Rollerblading,Capoeira
Playing badminton,Using uneven bars,Table soccer,Tai chi
Hopscotch,Vacuuming floor,Plastering,Ballet
Doing nails,Using the rowing machine,Snowboarding,Kneeling
Playing beach volleyball,Triple jump,Shot put,Belly dance
Tango,Sharpening knives,BMX,Rock-paper-scissors
Volleyball,Washing hands,Shoveling snow,Doing crunches
Capoeira,Polishing furniture,Shuffleboard,Tango
Doing fencing,Using parallel bars,Fun sliding down,Triple jump
Dodgeball,Throwing darts,Making a lemonade,Doing kickboxing
Arm wrestling,Ironing clothes,Skateboarding,Tumbling
Playing lacrosse,Shot put,Javelin throw,Cheerleading
Shuffleboard,Knitting,Hand car wash,Doing karate
Zumba,Mopping floor,Blow-drying hair,Running a marathon
Hurling,Using the pommel horse,Putting on shoes,Washing hands
Paintball,Playing rubik cube,Fixing bicycle,Swimming
Ping-pong,Making an omelette,Kayaking,Sumo
Doing kickboxing,Using the balance beam,Mopping floor,Hopscotch
Getting a haircut,Slacklining,Laying tile,Arm wrestling
Beach soccer,Mixing drinks,Painting,High jump
Doing karate,Waterskiing,Snatch,Platform diving
Tug of war,Putting in contact lenses,Painting furniture,Doing step aerobics
Table soccer,Windsurfing,Having an ice cream,Braiding hair
Sumo,Making a lemonade,Hula hoop,Smoking hookah
Playing blackjack,Hula hoop,Drum corps,Waterskiing
Rock-paper-scissors,Tai chi,Elliptical trainer,Calf roping
Futsal,Springboard diving,Making a cake,Sailing
